PAYMENT_TYPE,GTIN,POS_DESCRIPTION,CATEGORY,BRAND,PURCHASE_COUNT,TOTAL_SALES,TOTAL_UNITS
CASH,0,NEWSPAPER,null,null,3746,9227.23,3777
CASH,0,ENERGY DRINKS,null,null,3737,18155.039999999986,4285
DEBIT,0,GROC..,null,null,3652,11383.140000000014,4415
CASH,0,Novelty,null,null,3632,29360.00999999974,4317
CASH,0,LOTTRY,null,null,3626,29598.5,3924
CREDIT,0,Hot Food Service,null,null,3611,8756.42,5229
CASH,0,LOTTO PAID OUT,null,null,3558,-80679.41000000002,3562
CREDIT,0,GENERAL MERCH,null,null,3518,25011.909999999865,5035
CASH,0,Lotto Sale,null,null,3498,58946,3503
EBT,0,GROC,null,null,3440,23724.10999999994,4213
CASH,0,Online Lotto PO,null,null,3423,-36068,3427
CREDIT,0,NON TAX GROCRY,null,null,3406,137284.76000000004,7243
CASH,0,Lottery OnLine Payou,null,null,3405,-84891,3406
DEBIT,0,LOTTERY PAYOUTS,null,null,3380,-45230.3,3380
DEBIT,0,grocery,null,null,3332,11660.150000000012,3945
DEBIT,0,GROCERIES,null,null,3322,26009.249999999927,3846
CASH,0,LOW GROC,null,null,3320,12360.39000000002,3794
LOTTERY,0,LOTTERY,null,null,3296,42628.23,3305
DEBIT,0,Lottery,null,null,3264,45005.189999999995,3272
DEBIT,0,GENERAL MERCH,null,null,3226,23523.40999999991,4721
CASH,0,ON LINE LOTTO,null,null,3226,22796.989999999998,3232
CASH,0,LOTTERY PAY-OUT,null,null,3221,-102191.19,3221
CREDIT,0,Deli Hot,null,null,3206,28616.57999999979,3544
CASH,0,GENERAL MERCH,null,null,3200,16625.650000000005,3775
DEBIT,0,GROCERY NON-TAX,null,null,3187,5648.220000000005,3434
DEBIT,0,LOTTO PAYOUT,null,null,3181,-40792.68,3182
CASH,0,GENERAL,null,null,3168,15770.280000000006,3280
CASH,0,Instant Ticket Payou,null,null,3164,-71058,3169
CASH,0,GROC T,null,null,3151,16614.410000000018,3975
CASH,0,GROCERY LOW TAX,null,null,3143,6015.090000000001,3226
CASH,0,LOTTERY PAID OUTS,null,null,3114,-63090,3114
DEBIT,0,General Merchandise,null,null,3027,19942.289999999943,3708
DEBIT,0,MISC,null,null,3021,8593.700000000008,3554
DEBIT,0,MEGABUCKS,null,null,3006,67537.69,3010
CASH,0,GROCERIES,null,null,2991,11582.440000000011,3418
CASH,0,Food,null,null,2969,5921.580000000005,3527
CASH,0,PACK CIGS,null,null,2966,22393.40999999996,7254
CREDIT,0,MISC,null,null,2935,7926.730000000005,3370
DEBIT,0,BEER WINE,null,null,2929,17768.689999999988,4076
CREDIT,0,GRILL,null,null,2913,12293.750000000038,3657
CREDIT,0,ENERGY DRINKS,null,null,2911,16264.999999999993,3339
CREDIT,0,TAX GROCRY,null,null,2902,36698.69999999985,4849
CREDIT,0,CIGARETTES,null,null,2852,36182.629999999896,4505
DEBIT,0,NOVELTIES,null,null,2833,44335.69999999966,3194
HOUSE ACCOUNT,0,SNACKS,null,null,2830,13563.749999999984,3392
CASH,0,GROC TX,null,null,2806,14311.110000000017,3536
CREDIT,0,Tobacco,null,null,2796,23715.979999999927,4541
CASH,0,CIGGS,null,null,2768,16862.70000000001,4151
CASH,0,CIGARS,null,null,2741,11568.980000000027,7142
DEBIT,0,NOVELTY,null,null,2714,22696.089999999902,3368
CASH,0,BEER/WINE,null,null,2701,24625.689999999875,3085
DEBIT,0,LOTTERY PAYOUT,null,null,2700,-32987.97,2701
DEBIT,0,LOTTO SCRATCH,null,null,2663,133981.34999999998,2703
DEBIT,0,Deli Cold,null,null,2662,18666.39999999995,2724
CASH,0,Ice,null,null,2658,6171.540000000008,3009
CASH,0,Grocery Tax,null,null,2656,22213.309999999947,3097
CASH,0,GEN,null,null,2634,9041.340000000007,3115
CREDIT,0,NOVELTY,null,null,2587,22387.639999999905,3008
DEBIT,0,Lottery Payout,null,null,2580,-33990,2580
CASH,0,SCRATCH OFF LOTTERY,null,null,2576,32825.57,2699
CASH,0,ICE CREAM,null,null,2560,13031.820000000002,2709
CASH,0,SCRATCH PAYOUT,null,null,2555,-53020.17999999999,2602
CASH,0,WATER,null,null,2555,13411.540000000005,2629
CASH,0,Lotto PO,null,null,2553,-32318.58,2553
DEBIT,0,Grocery Non Tax,null,null,2544,8062.710000000003,3493
CASH,0,LOTTERY SCRATCH P/O,null,null,2510,-37100.08,2510
DEBIT,0,Tobacco,null,null,2489,26375.219999999903,4189
CREDIT,0,GENERAL,null,null,2478,13450.580000000013,2600
DEBIT,0,LOTTO IN,null,null,2476,62692.53,2495
CASH,0,CHIPS,null,null,2457,7484.950000000017,2757
DEBIT,0,CIG PACK,null,null,2454,9519.140000000014,5421
CREDIT,0,ICE CREAM,null,null,2448,15266.110000000008,2629
DEBIT,0,Beer,null,null,2444,23394.58999999993,2927
CASH,0,FOUNTAIN DRINK,null,null,2442,4969.500000000013,2656
CASH,0,Candy,null,null,2432,4451.620000000003,3226
DEBIT,0,GROCERY TAX,null,null,2421,10494.580000000009,3005
DEBIT,0,GRILL,null,null,2409,10442.820000000029,3239
CASH,0,Coffee,null,null,2397,4335.210000000006,2550
DEBIT,0,CHIPS,null,null,2360,7082.950000000014,2584
CASH,0,BILL PAY,null,null,2334,234106.11,2334
CASH,0,misc,null,null,2326,17189.67,3120
DEBIT,0,CIGGS,null,null,2309,34017.479999999836,3313
DEBIT,0,LIQUOR,null,null,2304,17856.040000000008,5959
DEBIT,0,GROC T,null,null,2274,18351.559999999983,2972
CASH,0,DELI HOT,null,null,2274,8501.290000000006,2342
CREDIT,0,NOVELTIES,null,null,2266,31552.06999999981,2803
DEBIT,0,Lotto Pay Out,null,null,2257,-36862.5,2264
DEBIT,0,Lottery Paid Out,null,null,2187,-26182.04,2187
CASH,0,NEWS,null,null,2175,4051.35,2188
CASH,0,breakfast,null,null,2172,7499.890000000011,2560
DEBIT,0,ONLINE,null,null,2162,18342,2172
EBT,0,Grocery Non Tax,null,null,2152,5431.200000000003,2565
DEBIT,0,ONLINE LOTTERY,null,null,2127,30824.3,2144
CREDIT,0,SERVICE FEE,null,null,2111,750.5699999999977,2111
CREDIT,0,LOW GROC,null,null,2101,15232.220000000016,2563
CREDIT,0,PRODUCE,null,null,2065,4531.560000000005,2351
CASH,0,Money Orders,null,null,2045,273119.3100000005,2110
CREDIT,0,BEER WINE,null,null,2032,9648.579999999996,2969
CASH,0,COUPON,null,null,1974,-4526.630000000005,1983
CREDIT,0,breakfast,null,null,1967,7793.860000000006,2498
CASH,0,CIG CTN,null,null,1958,83622.5299999997,2156
CASH,0,Deli Cold,null,null,1956,13041.66999999999,2023
CASH,0,HIGH GROC,null,null,1931,13291.630000000014,2622
CREDIT,0,HOT FOODS,null,null,1902,9984.140000000012,1963
CASH,0,GROC NOTAX,null,null,1901,5264.840000000007,2005
CREDIT,0,FOUNTAIN,null,null,1899,2489.9300000000003,2062
CASH,0,DELI LUNCH,null,null,1873,6266.180000000006,1943
CREDIT,0,GENERAL GROCERY,null,null,1854,11277.71000000001,2472
CREDIT,0,Grocery Tax,null,null,1849,15106.60000000001,2218
CASH,0,fountain,null,null,1832,4204.850000000004,2043
DEBIT,0,HOT FOOD,null,null,1831,6424.189999999999,1881
CREDIT,0,TAX GROC,null,null,1788,10842.96000000001,2199
CREDIT,0,Liquor,null,null,1767,29922.10999999995,2164
CREDIT,0,Lottery  Sales Winner,null,null,1764,-15629,1764
DEBIT,0,LOTTO ONLINE,null,null,1763,15973.84,1763
CASH,0,Cigarettes,null,null,1743,15694.750000000015,2402
